"id","user_agents","details",
"4c1d34c6-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; SunOS sun4u; en-US; rv:1.7.5) Gecko/20050105 Epiphany/1.4.8","Mozilla,5.0,X11,U,SunOS,sun4u,en,US,rv,1.7.5,Gecko,20050105,Epiphany,1.4.8",
"4c796782-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; rv:1.7.8) Gecko/20060628 Epiphany/1.4.8 (Debian)","Mozilla,5.0,X11,U,Linux,i686,rv,1.7.8,Gecko,20060628,Epiphany,1.4.8,Debian,",
"4cd341f8-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; rv:1.7.8) Gecko/20050831 Epiphany/1.4.8 (Debian)","Mozilla,5.0,X11,U,Linux,i686,rv,1.7.8,Gecko,20050831,Epiphany,1.4.8,Debian,",
"4d2aaa56-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.8) Gecko/20050927 Epiphany/1.4.8 (Debian)","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.7.8,Gecko,20050927,Epiphany,1.4.8,Debian,",
"4d849138-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.8) Gecko/20050831 Epiphany/1.4.8 (Debian)","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.7.8,Gecko,20050831,Epiphany,1.4.8,Debian,",
"4ddec612-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.8) Gecko/20050513 Epiphany/1.4.8 (Debian)","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.7.8,Gecko,20050513,Epiphany,1.4.8,Debian,",
"4e387d42-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.3) Gecko/20041007 Epiphany/1.4.7","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.7.3,Gecko,20041007,Epiphany,1.4.7",
"4e930f00-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.3) Gecko/20040924 Epiphany/1.4.4 (Ubuntu)","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.7.3,Gecko,20040924,Epiphany,1.4.4,Ubuntu,",
"4eee00e0-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i586; en-US; rv:1.7.3) Gecko/20040924 Epiphany/1.4.4 (Ubuntu)","Mozilla,5.0,X11,U,Linux,i586,en,US,rv,1.7.3,Gecko,20040924,Epiphany,1.4.4,Ubuntu,",
"4f462d24-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i586; en-US; rv:1.7.3) Gecko/20040924 Epiphany/1.4.4","Mozilla,5.0,X11,U,Linux,i586,en,US,rv,1.7.3,Gecko,20040924,Epiphany,1.4.4",
"4f9d6b20-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux i586; en-US; rv:1.6) Gecko/20040413 Epiphany/1.2.6","Mozilla,5.0,X11,U,Linux,i586,en,US,rv,1.6,Gecko,20040413,Epiphany,1.2.6",
"4ff30eea-d656-11ef-9afa-acde48001122","Mozilla/5.0 (X11; U; Linux; i686; en-US; rv:1.6) Gecko Epiphany/1.2.5","Mozilla,5.0,X11,U,Linux,i686,en,US,rv,1.6,Gecko,Epiphany,1.2.5",
